simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
midres,subhalos,0.25,5.48903E+11,0.011600312,3.44E-06
midres,subhalos,0.25,6.16476E+11,0.010186689,3.23E-06
midres,subhalos,0.25,6.92367E+11,0.0095291,3.12E-06
midres,subhalos,0.25,7.776E+11,0.008448688,2.94E-06
midres,subhalos,0.25,8.73326E+11,0.00782282,2.83E-06
midres,subhalos,0.25,9.80837E+11,0.00709894,2.69E-06
midres,subhalos,0.25,1.10158E+12,0.006251748,2.53E-06
midres,subhalos,0.25,1.23719E+12,0.005588538,2.39E-06
midres,subhalos,0.25,1.3895E+12,0.00511172,2.28E-06
midres,subhalos,0.25,1.56055E+12,0.00454075,2.15E-06
midres,subhalos,0.25,1.75266E+12,0.004114593,2.05E-06
midres,subhalos,0.25,1.96842E+12,0.003726522,1.95E-06
midres,subhalos,0.25,2.21074E+12,0.003429733,1.87E-06
midres,subhalos,0.25,2.48289E+12,0.003148412,1.79E-06
midres,subhalos,0.25,2.78855E+12,0.002850718,1.71E-06
midres,subhalos,0.25,3.13183E+12,0.00259332,1.63E-06
midres,subhalos,0.25,3.51737E+12,0.002340483,1.55E-06
midres,subhalos,0.25,3.95038E+12,0.002107334,1.47E-06
midres,subhalos,0.25,4.43669E+12,0.001887947,1.39E-06
midres,subhalos,0.25,4.98286E+12,0.001684021,1.31E-06
midres,subhalos,0.25,5.59628E+12,0.00150452,1.24E-06
midres,subhalos,0.25,6.2852E+12,0.001334598,1.17E-06
midres,subhalos,0.25,7.05894E+12,0.001186139,1.10E-06
midres,subhalos,0.25,7.92793E+12,0.001052914,1.04E-06
midres,subhalos,0.25,8.90389E+12,0.000932666,9.76E-07
midres,subhalos,0.25,1E+13,0.000828297,9.20E-07
midres,subhalos,0.25,1.1231E+13,0.000733234,8.65E-07
midres,subhalos,0.25,1.26136E+13,0.00064841,8.14E-07
midres,subhalos,0.25,1.41664E+13,0.000570608,7.63E-07
midres,subhalos,0.25,1.59104E+13,0.000498857,7.14E-07
midres,subhalos,0.25,1.7869E+13,0.000434237,6.66E-07
midres,subhalos,0.25,2.00688E+13,0.000377653,6.21E-07
midres,subhalos,0.25,2.25393E+13,0.000326053,5.77E-07
midres,subhalos,0.25,2.5314E+13,0.00028136,5.36E-07
midres,subhalos,0.25,2.84303E+13,0.000242562,4.98E-07
midres,subhalos,0.25,3.19302E+13,0.000208997,4.62E-07
midres,subhalos,0.25,3.5861E+13,0.000178711,4.27E-07
midres,subhalos,0.25,4.02756E+13,0.000153876,3.96E-07
midres,subhalos,0.25,4.52337E+13,0.000131639,3.67E-07
midres,subhalos,0.25,5.08022E+13,0.000112329,3.39E-07
midres,subhalos,0.25,5.70562E+13,9.62E-05,3.13E-07
midres,subhalos,0.25,6.408E+13,8.13E-05,2.88E-07
midres,subhalos,0.25,7.19686E+13,6.86E-05,2.65E-07
midres,subhalos,0.25,8.08282E+13,5.80E-05,2.43E-07
midres,subhalos,0.25,9.07785E+13,4.85E-05,2.23E-07
midres,subhalos,0.25,1.01954E+14,4.08E-05,2.04E-07
midres,subhalos,0.25,1.14505E+14,3.40E-05,1.86E-07
midres,subhalos,0.25,1.28601E+14,2.81E-05,1.70E-07
midres,subhalos,0.25,1.44432E+14,2.28E-05,1.52E-07
midres,subhalos,0.25,1.62212E+14,1.89E-05,1.39E-07
midres,subhalos,0.25,1.82181E+14,1.52E-05,1.24E-07
midres,subhalos,0.25,2.04609E+14,1.22E-05,1.12E-07
midres,subhalos,0.25,2.29797E+14,9.60E-06,9.90E-08
midres,subhalos,0.25,2.58086E+14,7.61E-06,8.82E-08
midres,subhalos,0.25,2.89858E+14,5.96E-06,7.80E-08
midres,subhalos,0.25,3.25541E+14,4.57E-06,6.83E-08
midres,subhalos,0.25,3.65616E+14,3.51E-06,5.99E-08
midres,subhalos,0.25,4.10625E+14,2.54E-06,5.10E-08
midres,subhalos,0.25,4.61175E+14,1.87E-06,4.37E-08
midres,subhalos,0.25,5.17947E+14,1.33E-06,3.68E-08
midres,subhalos,0.25,5.81709E+14,9.67E-07,3.14E-08
midres,subhalos,0.25,6.5332E+14,6.18E-07,2.51E-08
midres,subhalos,0.25,7.33747E+14,4.78E-07,2.21E-08
midres,subhalos,0.25,8.24074E+14,3.05E-07,1.77E-08
midres,subhalos,0.25,9.25522E+14,2.08E-07,1.46E-08
midres,subhalos,0.25,1.03946E+15,1.21E-07,1.11E-08
midres,subhalos,0.25,1.16742E+15,7.56E-08,8.78E-09
midres,subhalos,0.25,1.31113E+15,3.17E-08,5.69E-09
midres,subhalos,0.25,1.47254E+15,2.96E-08,5.50E-09
