simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
midres,CDM subsample,0.00,N/A,22,22.5,2.824414459910638e-05,1.808887574766012e-07,0.45,0.3640514254396147,0.0039010237160737107,0.6749999999999999,0.4052679492062309,0.004115933525127952,0.225,0.5651596362318971,0.004860520633667596
midres,CDM subsample,0.00,N/A,23,23.5,2.631596877371283e-05,1.7844308206576532e-07,0.47,0.30260471337934675,0.003634776729012801,0.705,0.5474914306416099,0.00488909591863308,0.235,0.48121615219552155,0.004583634639480314
midres,CDM subsample,0.00,N/A,24,24.5,2.398566594199529e-05,1.739462361853331e-07,0.49,0.2519391366545594,0.0033863888395698565,0.735,0.6966447130077745,0.005631118654320115,0.245,0.4105674819555783,0.004322960629876947
midres,CDM subsample,0.00,N/A,25,25.5,2.1545717852919626e-05,1.6819252009112074e-07,0.51,0.20864088582549145,0.0031439509569809445,0.765,0.8409592107829923,0.0063119495592939626,0.255,0.3403916359346404,0.004015739143033775
midres,CDM subsample,0.00,N/A,26,26.5,1.8873092178494662e-05,1.6047248240661812e-07,0.53,0.17285766040259715,0.002917247093858314,0.7949999999999999,0.9828910089084196,0.0069563525127870314,0.265,0.2787582093988906,0.003704612038326967
midres,CDM subsample,0.00,N/A,27,27.5,1.6461720336347273e-05,1.5267223381532684e-07,0.55,0.13886540765993802,0.002663602091482805,0.825,1.113579994612218,0.007542807437871126,0.275,0.22663978969075976,0.0034028310718676783
midres,CDM subsample,0.00,N/A,28,28.5,1.3918563081564004e-05,1.429143158017908e-07,0.5700000000000001,0.11781126046204922,0.0024975937266129853,0.855,1.2310085368459174,0.00807344564969559,0.28500000000000003,0.18987468764804877,0.003170749479447684
midres,CDM subsample,0.00,N/A,29,29.5,1.1817179157671873e-05,1.339750788534705e-07,0.59,0.09821367195845827,0.0023200799227549875,0.885,1.3145943837028955,0.008488146328990772,0.295,0.15559632516186553,0.0029202271840695405
midres,CDM subsample,0.00,N/A,30,30.5,9.632872628954546e-06,1.2299400175548713e-07,0.61,0.0789904413335686,0.002115646741522627,0.9149999999999999,1.38272937548188,0.008851654986101317,0.305,0.12891194693964747,0.002702728784982659
midres,CDM subsample,0.00,N/A,31,31.5,7.895385326982354e-06,1.1316133059619987e-07,0.63,0.06864683096301934,0.0020043404310991124,0.945,1.413200063167085,0.009094169921358017,0.315,0.0990199812356596,0.002407258120176861
midres,CDM subsample,0.00,N/A,32,32.5,6.107850976335785e-06,1.0109786869442437e-07,0.65,0.05325542726031338,0.0017932035119406907,0.975,1.4490668920864633,0.009353881442212364,0.325,0.07873591513316172,0.0021803895096978295
midres,CDM subsample,0.00,N/A,33,33.5,4.812394448920751e-06,9.110854594431409e-08,0.67,0.04487371227392218,0.0016711843754364292,1.005,1.4133041030738205,0.009378776293676873,0.335,0.06516335194285232,0.0020138637059634364
midres,CDM subsample,0.00,N/A,34,34.5,3.479891777965371e-06,7.862280246245374e-08,0.6900000000000001,0.0379448402708753,0.0015595233284988596,1.0350000000000001,1.4040231860363572,0.009486426605835147,0.34500000000000003,0.0524946354423089,0.0018343110114472472
midres,CDM subsample,0.00,N/A,35,35.5,2.635759741450834e-06,6.941018310865355e-08,0.71,0.030536641554653604,0.0014191580850952225,1.065,1.3786337330819023,0.00953552459222752,0.355,0.03930850619130356,0.0016101391509918102
midres,CDM subsample,0.00,N/A,36,36.5,1.933839586046007e-06,6.028548493168636e-08,0.73,0.02651438444603392,0.001340890056878076,1.095,1.318870238084188,0.009457000888122277,0.365,0.03207494588995919,0.00147480758328116
midres,CDM subsample,0.00,N/A,37,37.5,1.3284093166656544e-06,5.064513040200615e-08,0.75,0.021179552442615473,0.0012147306416681691,1.125,1.2733509210318519,0.00941880164216744,0.375,0.026126092651252632,0.0013491456231969792
midres,CDM subsample,0.00,N/A,38,38.5,8.484313457370795e-07,4.1010477018707594e-08,0.77,0.019169352816044424,0.0011709545911030611,1.1549999999999998,1.1917186092093883,0.009232582326095787,0.385,0.019813099738971288,0.0011904537879222471
midres,CDM subsample,0.00,N/A,39,39.5,6.020062686222803e-07,3.499090361815873e-08,0.79,0.015117370019786148,0.0010532770782047335,1.185,1.140187271832123,0.009147293323508034,0.395,0.017465699343248074,0.0011321331348735993
midres,CDM subsample,0.00,N/A,40,40.5,3.96205802005512e-07,2.8743789951078863e-08,0.81,0.013694252724080584,0.0010150855473909156,1.2149999999999999,1.0777075921264074,0.009005004752925806,0.405,0.013694252724080584,0.0010150855473909156
midres,CDM subsample,0.00,N/A,41,41.5,2.713713683521834e-07,2.408031501764679e-08,0.8300000000000001,0.012644564379336993,0.0009873745932818625,1.245,0.991904394757131,0.008745102802967737,0.41500000000000004,0.011410948342328505,0.0009379741758362756
midres,CDM subsample,0.00,N/A,42,42.5,1.5974379476570513e-07,1.8696596996841364e-08,0.85,0.00955402179264474,0.0008685474356949765,1.275,0.9442689803160202,0.008634720616945759,0.425,0.011606952095196504,0.0009573252738046846
midres,CDM subsample,0.00,N/A,43,43.5,8.73506358807474e-08,1.398729605728448e-08,0.87,0.009536372165609229,0.0008778942162491922,1.305,0.8842156598638249,0.008453366397488045,0.435,0.008404938179858983,0.0008241719959546531
midres,CDM subsample,0.00,N/A,44,44.5,4.353372392406243e-08,9.987321222157216e-09,0.89,0.00628326722464259,0.0007207401807231139,1.335,0.8231080064281793,0.008249248418022763,0.445,0.006035243518406698,0.0007063718250023312
midres,CDM subsample,0.00,N/A,45,45.5,1.6399161525504298e-08,6.198300443780427e-09,0.91,0.006424464240926693,0.0007369365892786894,1.3649999999999998,0.7602846234591403,0.008016776304741121,0.455,0.0066780615135948514,0.0007513406210585298
midres,CDM subsample,0.00,N/A,46,46.5,1.915380875192339e-08,6.771894027017636e-09,0.93,0.004837855663207956,0.0006464856563710068,1.395,0.704253560115558,0.0078000424382309525,0.465,0.004578684824107529,0.0006289307295827141
