simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
highres,subhalos,0.29,16861288383,0.025045575,4.35E-05
highres,subhalos,0.29,18936988890,0.041765348,5.62E-05
highres,subhalos,0.29,21268217473,0.048693593,6.07E-05
highres,subhalos,0.29,23886430790,0.126700488,9.79E-05
highres,subhalos,0.29,26826957953,0.164959686,0.000111716
highres,subhalos,0.29,30129477247,0.145820289,0.000105036
highres,subhalos,0.29,33838551534,0.130023697,9.92E-05
highres,subhalos,0.29,38004229564,0.118284879,9.46E-05
highres,subhalos,0.29,42682721312,0.107150797,9.00E-05
highres,subhalos,0.29,47937156456,0.098039663,8.61E-05
highres,subhalos,0.29,53838436220,0.087119617,8.12E-05
highres,subhalos,0.29,60466190091,0.078965105,7.73E-05
highres,subhalos,0.29,67909850300,0.070830793,7.32E-05
highres,subhalos,0.29,76269858590,0.064113862,6.96E-05
highres,subhalos,0.29,85659021537,0.059888732,6.73E-05
highres,subhalos,0.29,96204032711,0.059020933,6.68E-05
highres,subhalos,0.29,1.08047E+11,0.060245536,6.75E-05
highres,subhalos,0.29,1.21348E+11,0.059842202,6.73E-05
highres,subhalos,0.29,1.36287E+11,0.055975691,6.51E-05
highres,subhalos,0.29,1.53064E+11,0.050070194,6.15E-05
highres,subhalos,0.29,1.71907E+11,0.0439266,5.76E-05
highres,subhalos,0.29,1.9307E+11,0.038416113,5.39E-05
highres,subhalos,0.29,2.16838E+11,0.033465497,5.03E-05
highres,subhalos,0.29,2.43531E+11,0.029507213,4.72E-05
highres,subhalos,0.29,2.73511E+11,0.026160398,4.45E-05
highres,subhalos,0.29,3.07181E+11,0.023854262,4.25E-05
highres,subhalos,0.29,3.44997E+11,0.022276487,4.11E-05
highres,subhalos,0.29,3.87468E+11,0.020576145,3.95E-05
highres,subhalos,0.29,4.35167E+11,0.018408161,3.73E-05
highres,subhalos,0.29,4.88737E+11,0.016095896,3.49E-05
highres,subhalos,0.29,5.48903E+11,0.013928214,3.25E-05
highres,subhalos,0.29,6.16476E+11,0.012120967,3.03E-05
highres,subhalos,0.29,6.92367E+11,0.010507103,2.82E-05
highres,subhalos,0.29,7.776E+11,0.009113101,2.63E-05
highres,subhalos,0.29,8.73326E+11,0.007915508,2.45E-05
highres,subhalos,0.29,9.80837E+11,0.006967133,2.30E-05
highres,subhalos,0.29,1.10158E+12,0.006115979,2.15E-05
highres,subhalos,0.29,1.23719E+12,0.005351302,2.01E-05
highres,subhalos,0.29,1.3895E+12,0.004688309,1.88E-05
highres,subhalos,0.29,1.56055E+12,0.004162636,1.77E-05
highres,subhalos,0.29,1.75266E+12,0.003637947,1.66E-05
highres,subhalos,0.29,1.96842E+12,0.003260867,1.57E-05
highres,subhalos,0.29,2.21074E+12,0.002869638,1.47E-05
highres,subhalos,0.29,2.48289E+12,0.00253871,1.39E-05
highres,subhalos,0.29,2.78855E+12,0.002248788,1.30E-05
highres,subhalos,0.29,3.13183E+12,0.001989053,1.23E-05
highres,subhalos,0.29,3.51737E+12,0.001758144,1.15E-05
highres,subhalos,0.29,3.95038E+12,0.001566048,1.09E-05
highres,subhalos,0.29,4.43669E+12,0.001395817,1.03E-05
highres,subhalos,0.29,4.98286E+12,0.001231261,9.65E-06
highres,subhalos,0.29,5.59628E+12,0.001102718,9.13E-06
highres,subhalos,0.29,6.2852E+12,0.000966911,8.55E-06
highres,subhalos,0.29,7.05894E+12,0.000858039,8.06E-06
highres,subhalos,0.29,7.92793E+12,0.000760592,7.59E-06
highres,subhalos,0.29,8.90389E+12,0.000655729,7.04E-06
highres,subhalos,0.29,1E+13,0.000586805,6.66E-06
highres,subhalos,0.29,1.1231E+13,0.000513568,6.23E-06
highres,subhalos,0.29,1.26136E+13,0.000458261,5.89E-06
highres,subhalos,0.29,1.41664E+13,0.000401594,5.51E-06
highres,subhalos,0.29,1.59104E+13,0.000356426,5.19E-06
highres,subhalos,0.29,1.7869E+13,0.000299304,4.76E-06
highres,subhalos,0.29,2.00688E+13,0.000280087,4.60E-06
highres,subhalos,0.29,2.25393E+13,0.000239307,4.26E-06
highres,subhalos,0.29,2.5314E+13,0.000199965,3.89E-06
highres,subhalos,0.29,2.84303E+13,0.000180066,3.69E-06
highres,subhalos,0.29,3.19302E+13,0.000156007,3.44E-06
highres,subhalos,0.29,3.5861E+13,0.000139514,3.25E-06
highres,subhalos,0.29,4.02756E+13,0.000118556,2.99E-06
highres,subhalos,0.29,4.52337E+13,0.000100928,2.76E-06
highres,subhalos,0.29,5.08022E+13,8.10E-05,2.47E-06
highres,subhalos,0.29,5.70562E+13,7.08E-05,2.31E-06
highres,subhalos,0.29,6.408E+13,6.28E-05,2.18E-06
highres,subhalos,0.29,7.19686E+13,5.08E-05,1.96E-06
highres,subhalos,0.29,8.08282E+13,4.60E-05,1.87E-06
highres,subhalos,0.29,9.07785E+13,3.88E-05,1.71E-06
highres,subhalos,0.29,1.01954E+14,3.33E-05,1.59E-06
highres,subhalos,0.29,1.14505E+14,2.50E-05,1.38E-06
highres,subhalos,0.29,1.28601E+14,2.03E-05,1.24E-06
highres,subhalos,0.29,1.44432E+14,1.89E-05,1.20E-06
highres,subhalos,0.29,1.62212E+14,1.33E-05,1.00E-06
highres,subhalos,0.29,1.82181E+14,1.26E-05,9.75E-07
highres,subhalos,0.29,2.04609E+14,8.93E-06,8.22E-07
highres,subhalos,0.29,2.29797E+14,6.73E-06,7.14E-07
highres,subhalos,0.29,2.58086E+14,5.22E-06,6.28E-07
highres,subhalos,0.29,2.89858E+14,4.31E-06,5.71E-07
highres,subhalos,0.29,3.25541E+14,3.56E-06,5.19E-07
highres,subhalos,0.29,3.65616E+14,2.57E-06,4.41E-07
highres,subhalos,0.29,4.10625E+14,1.89E-06,3.78E-07
highres,subhalos,0.29,4.61175E+14,1.13E-06,2.93E-07
highres,subhalos,0.29,5.17947E+14,4.54E-07,1.85E-07
highres,subhalos,0.29,5.81709E+14,8.32E-07,2.51E-07
highres,subhalos,0.29,6.5332E+14,6.81E-07,2.27E-07
highres,subhalos,0.29,7.33747E+14,3.03E-07,1.51E-07
highres,subhalos,0.29,8.24074E+14,3.03E-07,1.51E-07
highres,subhalos,0.29,9.25522E+14,7.57E-08,7.57E-08
