simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
midres,subhalos,0.00,10^12 M_sol / h,10,10.5,6.025880913074866e-06,5.707698515037466e-08,0.21000000000000002,0.7511596388416979,0.004637671546236362,0.31499999999999995,0.00022906446255750487,8.098651740163187e-05,0.10500000000000001,0.7378166338977232,0.004596297024640723
midres,subhalos,0.00,10^12 M_sol / h,11,11.5,8.032705778437677e-06,6.896614542244017e-08,0.22999999999999998,0.7057571534922789,0.0047045249939862465,0.345,0.0005644802827309933,0.00013304927858839497,0.11499999999999999,0.8820631617985927,0.005259421508950834
midres,subhalos,0.00,10^12 M_sol / h,12,12.5,1.0039015756468448e-05,8.038160578737146e-08,0.25,0.6475161504080887,0.004698070446599357,0.375,0.0012271310494152026,0.0002045218415692005,0.125,1.0121104199787834,0.005873651433385053
midres,subhalos,0.00,10^12 M_sol / h,13,13.5,1.194386718572055e-05,9.11161729762319e-08,0.27,0.5837953254487886,0.004635925054490188,0.405,0.002687416998219299,0.0003145383684659683,0.135,1.0842439100212966,0.006317854146290044
midres,subhalos,0.00,10^12 M_sol / h,14,14.5,1.3549800774356277e-05,1.0057882539119427e-07,0.29000000000000004,0.5243121930468039,0.004553215393612478,0.43499999999999994,0.00482398850314555,0.0004367433980328146,0.14500000000000002,1.1004229511683674,0.006596340058881702
midres,subhalos,0.00,10^12 M_sol / h,15,15.5,1.5216104902673804e-05,1.1019799666490803e-07,0.31,0.4678628012947592,0.004446971263979115,0.46499999999999997,0.009510265632967821,0.0006340177088645214,0.155,1.0662909827683522,0.0067134063180956036
midres,subhalos,0.00,10^12 M_sol / h,16,16.5,1.6278497679240503e-05,1.1759943535367543e-07,0.33,0.41458213460809495,0.004319032572623446,0.495,0.016828057124313813,0.0008701581185515655,0.165,1.0242617443258817,0.006788700730158193
midres,subhalos,0.00,10^12 M_sol / h,17,17.5,1.7319136466028468e-05,1.2492180331884206e-07,0.35,0.36268539904938313,0.004160286849352589,0.525,0.03292801649264127,0.0012535481642930199,0.175,0.9561055223624199,0.006754779135733738
midres,subhalos,0.00,10^12 M_sol / h,18,18.5,1.8011608438890346e-05,1.309839901572062e-07,0.37,0.31979444191443324,0.004016618049060329,0.5549999999999999,0.05024692603672135,0.0015921347771890057,0.185,0.8488501782066972,0.006543959485172859
midres,subhalos,0.00,10^12 M_sol / h,19,19.5,1.8377770565071268e-05,1.358375443221241e-07,0.39,0.2814588679307023,0.003868690522482265,0.585,0.08002939660602813,0.0020629148041350536,0.195,0.7646130855801188,0.006376426887465753
midres,subhalos,0.00,10^12 M_sol / h,20,20.5,1.856763526876137e-05,1.399946155427991e-07,0.41000000000000003,0.2448535487266475,0.0036997241759474,0.615,0.12170004008628083,0.002608323815553019,0.20500000000000002,0.6736826748184541,0.006136826363722839
midres,subhalos,0.00,10^12 M_sol / h,21,21.5,1.8342011639861023e-05,1.4249473425587015e-07,0.43,0.2210335715785539,0.0035998762049438424,0.645,0.18667662915281652,0.003308288845518571,0.215,0.5701141777267529,0.005781484507134592
midres,subhalos,0.00,10^12 M_sol / h,22,22.5,1.8330890073488938e-05,1.457267029021038e-07,0.45,0.19186193957606698,0.0034310329585622995,0.6749999999999999,0.2707051095009937,0.004075479389617936,0.225,0.47502242922862503,0.005398679338852612
midres,subhalos,0.00,10^12 M_sol / h,23,23.5,1.7608915056501117e-05,1.4596755509327185e-07,0.47,0.16552770725561716,0.003256930540019116,0.705,0.36649359573940066,0.004846255888707759,0.235,0.407250708327312,0.005108625547594826
midres,subhalos,0.00,10^12 M_sol / h,24,24.5,1.731373014904204e-05,1.477863992188971e-07,0.49,0.15246148853723238,0.003191555018896796,0.735,0.4921927195678312,0.0057344246495676324,0.245,0.3368583808960235,0.004744013718385746
midres,subhalos,0.00,10^12 M_sol / h,25,25.5,1.6532826276902128e-05,1.4733290254612923e-07,0.51,0.13128666054010116,0.0030214791840462627,0.765,0.6240288621222818,0.006587363729521681,0.255,0.2794709156306497,0.004408365700816549
midres,subhalos,0.00,10^12 M_sol / h,26,26.5,1.5565661912396405e-05,1.4573465495153129e-07,0.53,0.114394519905429,0.002875178171236922,0.7949999999999999,0.7686039884486084,0.007452697081017918,0.265,0.22994526995519587,0.004076377471712084
midres,subhalos,0.00,10^12 M_sol / h,27,27.5,1.4434094022770009e-05,1.4296088082053706e-07,0.55,0.09801368387467985,0.002711121111123224,0.825,0.9247932284181726,0.00832775391009869,0.275,0.18447870109541883,0.003719449602927923
midres,subhalos,0.00,10^12 M_sol / h,28,28.5,1.3343330954207855e-05,1.3992994466990202e-07,0.5700000000000001,0.08346945398122256,0.0025469793969221345,0.855,1.0432127381656835,0.009004261232109807,0.28500000000000003,0.14408972782233392,0.0033464023464704487
midres,subhalos,0.00,10^12 M_sol / h,29,29.5,1.2231843670531054e-05,1.363054033878045e-07,0.59,0.0832608417028215,0.0025880378408672227,0.885,1.1701567182698032,0.009702245035647393,0.295,0.11978298869130552,0.003104186429874665
midres,subhalos,0.00,10^12 M_sol / h,30,30.5,1.1214271836218521e-05,1.327063067262601e-07,0.61,0.06786852790632349,0.0023758736989880993,0.9149999999999999,1.2538211497399834,0.01021190887906117,0.305,0.0863327597631909,0.0026796430556894073
midres,subhalos,0.00,10^12 M_sol / h,31,31.5,1.0144953825035874e-05,1.2827334429744865e-07,0.63,0.06150380819668997,0.0022985052292045114,0.945,1.348702922480767,0.010763478354273874,0.315,0.0729283982667455,0.002502896149025542
midres,subhalos,0.00,10^12 M_sol / h,32,32.5,9.051333131780892e-06,1.2307052650744098e-07,0.65,0.05468232304088523,0.002201427433317218,0.975,1.399229361700966,0.011135900735647925,0.325,0.06088615223515098,0.0023229515976844702
midres,subhalos,0.00,10^12 M_sol / h,33,33.5,8.051705120989988e-06,1.1784805998923126e-07,0.67,0.04859984347261721,0.002107070439620906,1.005,1.409395460705899,0.011346921577599927,0.335,0.04202242104775172,0.001959305484046372
midres,subhalos,0.00,10^12 M_sol / h,34,34.5,7.124985156416082e-06,1.1250132382849402e-07,0.6900000000000001,0.04958018483320558,0.002159746773447557,1.0350000000000001,1.4209850317281538,0.011562280862546239,0.34500000000000003,0.03810241908434205,0.0018933244262172026
midres,subhalos,0.00,10^12 M_sol / h,35,35.5,6.408442200781292e-06,1.0822971523990614e-07,0.71,0.04182062616407034,0.0020120958144587264,1.065,1.4049600637017348,0.01166233149609507,0.355,0.028751680487798362,0.001668341714701038
