simulation,tracer sample,redshift,mass cut,bin index,bin_center_radius,abundance_radius,error_radius,bin_center_core density,abundance_core density,error_core density,bin_center_compensation,abundance_compensation,error_compensation,bin_center_ellipticity,abundance_ellipticity,error_ellipticity
highres,subhalos,0.25,10^11 M_sol / h,37,37.5,,0.0,0.75,0.03270283274192576,0.006072763585359468,1.125,1.0250646538762245,0.03399924843255245,0.375,0.016915258314789183,0.0043675009166650024
highres,subhalos,0.25,10^11 M_sol / h,38,38.5,,0.0,0.77,0.03936368557166052,0.006750816381534368,1.1549999999999998,0.9852498947495029,0.03377393141359657,0.385,0.010419799121910137,0.0034732663739700455
highres,subhalos,0.25,10^11 M_sol / h,39,39.5,,0.0,0.79,0.03207132976484029,0.006172130290999934,1.185,1.0286582065315442,0.03495522880241203,0.395,0.015441751368256436,0.004282771257016523
highres,subhalos,0.25,10^11 M_sol / h,40,40.5,,0.0,0.81,0.0170505803813075,0.00455695928803586,1.2149999999999999,0.9377819209719122,0.03379531457768807,0.405,0.014614783183977853,0.0042189245027088144
highres,subhalos,0.25,10^11 M_sol / h,41,41.5,,0.0,0.8300000000000001,0.029951284056053552,0.006113780256540709,1.245,0.8898027304985859,0.03332337413826759,0.41500000000000004,0.00873579118301562,0.0033018187108071525
highres,subhalos,0.25,10^11 M_sol / h,42,42.5,,0.0,0.85,0.015336500872075524,0.004427266453459867,1.275,0.9534191375473619,0.03490715475186595,0.425,0.0063902086966981355,0.002857788207245474
highres,subhalos,0.25,10^11 M_sol / h,43,43.5,,0.0,0.87,0.019621699645155453,0.005066301063331404,1.305,0.9523064894448849,0.03529482672764765,0.435,0.005232453238708121,0.0026162266193540604
highres,subhalos,0.25,10^11 M_sol / h,44,44.5,,0.0,0.89,0.013381848800144331,0.004231712151244745,1.335,0.8577765080892515,0.03388013508763822,0.445,0.0040145546400433,0.0023178042021054597
highres,subhalos,0.25,10^11 M_sol / h,45,45.5,,0.0,0.91,0.023260359655981215,0.005641465867733307,1.3649999999999998,0.8236903831118052,0.03357111377040539,0.455,0.006841282251759181,0.0030595144336392722
highres,subhalos,0.25,10^11 M_sol / h,46,46.5,,0.0,0.93,0.015381608227581632,0.004637729378466529,1.395,0.8138269080411371,0.033734210669657094,0.465,0.0013983280206892393,0.0013983280206892393
highres,subhalos,0.25,10^11 M_sol / h,47,47.5,,0.0,0.95,0.015712395501293153,0.004737465494132502,1.4249999999999998,0.7827629758825997,0.03343797713112297,0.475,0.0028567991820533,0.002020062074118071
highres,subhalos,0.25,10^11 M_sol / h,48,48.5,,0.0,0.97,0.013126240452276406,0.004375413484092135,1.455,0.7190262825524742,0.032383315107715256,0.485,0.0014584711613640452,0.0014584711613640452
highres,subhalos,0.25,10^11 M_sol / h,49,49.5,,0.0,0.99,0.011908341853611585,0.004210234638688167,1.4849999999999999,0.6862181993143676,0.03196036784754921,0.495,0.0029770854634028963,0.0021051173193440834
highres,subhalos,0.25,10^11 M_sol / h,50,50.5,,0.0,1.01,0.010630300114271959,0.004017875780620729,1.5150000000000001,0.7729746797377753,0.03426150031396299,0.505,0.004555842906116553,0.0026303171282320388
highres,subhalos,0.25,10^11 M_sol / h,51,51.5,,0.0,1.03,0.009292115234257525,0.003793490159178852,1.545,0.7340771035063445,0.0337172780549551,0.515,0.0030973717447525086,0.002190172564570107
